동,연도,월,전체,남자,여자,아동전체,아동남자,아동여자,청소년전체,청소년남자,청소년여자,청년전체,청년남자,청년여자
월계2동,2025,4,25035.0,11967.0,13068.0,2627.0,1381.0,1246.0,3257.0,1656.0,1601.0,4150.0,2090.0,2060.0
월계2동,2025,5,24997.0,11941.0,13056.0,2611.0,1369.0,1242.0,3266.0,1650.0,1616.0,4144.0,2080.0,2064.0
월계2동,2025,6,24995.0,11950.0,13045.0,2615.0,1372.0,1243.0,3250.0,1641.0,1609.0,4142.0,2090.0,2052.0
월계2동,2025,7,24939.0,11920.0,13019.0,2606.0,1369.0,1237.0,3254.0,1646.0,1608.0,4141.0,2086.0,2055.0
월계2동,2025,8,24965.0,11942.0,13023.0,2598.0,1369.0,1229.0,3262.0,1657.0,1605.0,4146.0,2087.0,2059.0
월계2동,2025,9,24974.0,11935.0,13039.0,2600.0,1366.0,1234.0,3257.0,1657.0,1600.0,4152.0,2088.0,2064.0
월계2동,2025,10,24940.0,11909.0,13031.0,2577.0,1352.0,1225.0,3246.0,1653.0,1593.0,4162.0,2096.0,2066.0
월계2동,2025,11,24870.0,11881.0,12989.0,2560.0,1344.0,1216.0,3243.0,1655.0,1588.0,4150.0,2095.0,2055.0
월계2동,2025,12,24822.0,11869.0,12953.0,2541.0,1333.0,1208.0,3232.0,1650.0,1582.0,4134.0,2087.0,2047.0
월계3동,2023,1,29201.0,13960.0,15241.0,3435.0,1791.0,1644.0,3666.0,1870.0,1796.0,5558.0,2750.0,2808.0
월계3동,2023,2,29106.0,13920.0,15186.0,3394.0,1766.0,1628.0,3637.0,1866.0,1771.0,5550.0,2757.0,2793.0
월계3동,2023,3,29022.0,13884.0,15138.0,3371.0,1759.0,1612.0,3597.0,1838.0,1759.0,5528.0,2752.0,2776.0
월계3동,2023,4,29030.0,13889.0,15141.0,3366.0,1755.0,1611.0,3607.0,1846.0,1761.0,5531.0,2752.0,2779.0
월계3동,2023,5,28992.0,13880.0,15112.0,3346.0,1744.0,1602.0,3586.0,1842.0,1744.0,5530.0,2758.0,2772.0
월계3동,2023,6,28954.0,13845.0,15109.0,3327.0,1738.0,1589.0,3550.0,1816.0,1734.0,5528.0,2739.0,2789.0
월계3동,2023,7,28861.0,13790.0,15071.0,3307.0,1731.0,1576.0,3523.0,1807.0,1716.0,5509.0,2722.0,2787.0
월계3동,2023,8,28832.0,13788.0,15044.0,3280.0,1720.0,1560.0,3516.0,1815.0,1701.0,5510.0,2734.0,2776.0
월계3동,2023,9,28818.0,13785.0,15033.0,3288.0,1725.0,1563.0,3505.0,1815.0,1690.0,5509.0,2735.0,2774.0
월계3동,2023,10,28762.0,13759.0,15003.0,3268.0,1715.0,1553.0,3481.0,1806.0,1675.0,5506.0,2733.0,2773.0
월계3동,2023,11,28729.0,13757.0,14972.0,3246.0,1710.0,1536.0,3461.0,1797.0,1664.0,5502.0,2741.0,2761.0
월계3동,2023,12,28718.0,13751.0,14967.0,3232.0,1703.0,1529.0,3451.0,1796.0,1655.0,5504.0,2734.0,2770.0
월계3동,2024,1,28633.0,13707.0,14926.0,3202.0,1687.0,1515.0,3409.0,1779.0,1630.0,5486.0,2726.0,2760.0
월계3동,2024,2,28571.0,13652.0,14919.0,3160.0,1662.0,1498.0,3389.0,1758.0,1631.0,5472.0,2717.0,2755.0
월계3동,2024,3,28569.0,13644.0,14925.0,3164.0,1667.0,1497.0,3367.0,1743.0,1624.0,5453.0,2702.0,2751.0
월계3동,2024,4,28551.0,13638.0,14913.0,3150.0,1659.0,1491.0,3364.0,1739.0,1625.0,5411.0,2685.0,2726.0
월계3동,2024,5,28525.0,13622.0,14903.0,3134.0,1657.0,1477.0,3355.0,1731.0,1624.0,5409.0,2681.0,2728.0
월계3동,2024,6,28508.0,13609.0,14899.0,3117.0,1650.0,1467.0,3338.0,1728.0,1610.0,5415.0,2677.0,2738.0
월계3동,2024,7,28472.0,13594.0,14878.0,3096.0,1642.0,1454.0,3324.0,1724.0,1600.0,5423.0,2674.0,2749.0
월계3동,2024,8,28391.0,13550.0,14841.0,3060.0,1622.0,1438.0,3310.0,1716.0,1594.0,5412.0,2672.0,2740.0
월계3동,2024,9,28378.0,13543.0,14835.0,3057.0,1618.0,1439.0,3305.0,1719.0,1586.0,5401.0,2665.0,2736.0
월계3동,2024,10,28276.0,13491.0,14785.0,3025.0,1593.0,1432.0,3288.0,1710.0,1578.0,5369.0,2653.0,2716.0
월계3동,2024,11,28284.0,13490.0,14794.0,3037.0,1597.0,1440.0,3289.0,1710.0,1579.0,5351.0,2638.0,2713.0
월계3동,2024,12,28257.0,13493.0,14764.0,3038.0,1601.0,1437.0,3285.0,1706.0,1579.0,5346.0,2641.0,2705.0
월계3동,2025,1,28192.0,13449.0,14743.0,3023.0,1585.0,1438.0,3266.0,1689.0,1577.0,5328.0,2641.0,2687.0
